,added_at,artist_ids,artists,id,name,release_date
86,2019-07-14T04:49:08Z,"6eUKZXaKkcviH0Ku9w2n3V, 4nDoRrQiYLoBzwC5BhVJzF, 4kYSro6naA4h99UJvo89HB","Ed Sheeran, Camila Cabello, Cardi B",4vUmTMuQqjdnvlZmAH61Qk,South of the Border (feat. Camila Cabello & Cardi B),2019-07-12
87,2019-07-13T21:07:52Z,6fOMl44jA4Sp5b9PpYCkzz,NF,68Vm2W4oURsPV3121vUZgB,Time - Edit,2019-07-12
88,2019-07-13T17:16:15Z,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,5hXqurVR1oeDhMjDDtxPNa,Melee,2019-07-12
89,2019-07-10T15:38:27Z,"5LHRHt1k9lMyONurDHEdrp, 7bXgB6jMjp9ATFy66eO08Z","Tyga, Chris Brown",6pAaeIH6FuqdiweIogafXT,February Love (feat. Chris Brown),2019-06-07
90,2019-07-10T15:36:30Z,5LHRHt1k9lMyONurDHEdrp,Tyga,6zDSBeavhGQZs53NiArKsB,Werkkkk,2019-06-07
91,2019-07-10T15:36:20Z,5LHRHt1k9lMyONurDHEdrp,Tyga,120mPs6R3qBRxIEuIH1MW5,Shit I Like,2019-06-07
92,2019-07-09T22:00:04Z,"3hyEbRtp617pNCuuQjyOmc, 2fsk4VlJdNF6G8cCMDrrzB","Lost Kings, Norma Jean Martine",4mEILaBM7bKZqKAun5tABu,When We Were Young,2018-05-11
93,2019-07-08T22:52:20Z,2rhFzFmezpnW82MNqEKVry,Ski Mask The Slump God,6eKWSrZfzd25TYYxkscWgg,BabyWipe,2018-02-02
94,2019-07-08T22:51:45Z,"2rhFzFmezpnW82MNqEKVry, 6icQOAFXDZKsumw3YXyusw","Ski Mask The Slump God, Lil Yachty",3clpchqQ6A3p8jjPgKdhk0,Cat Piss (feat. Lil Yachty),2018-11-30
95,2019-07-08T22:48:35Z,2rhFzFmezpnW82MNqEKVry,Ski Mask The Slump God,4NV37tVCuVotth2s58QFry,DAPPER DAN,2018-05-11
96,2019-07-08T22:47:20Z,2rhFzFmezpnW82MNqEKVry,Ski Mask The Slump God,31vQpwkKkA1OhNRo7rzNZ4,DoIHaveTheSause?,2018-05-11
97,2019-07-08T17:48:23Z,"0YinUQ50QDB7ZxSCLyQ40k, 6oMuImdp5ZcFhWP0ESe6mG","Mustard, Migos",3j84U36KvLeXNDPv4t5pI8,Pure Water (with Migos),2019-06-28
98,2019-07-08T13:20:51Z,"0YinUQ50QDB7ZxSCLyQ40k, 0EeQBlQJFiAfJeVN2vT9s0","Mustard, Nipsey Hussle",6GQ82BpN60dzztUWzYojc7,Perfect Ten (feat. Nipsey Hussle),2019-06-28
99,2019-07-08T13:14:56Z,"0YinUQ50QDB7ZxSCLyQ40k, 7c0XG5cIJTrrAgEC3ULPiq, 7HkdQ0gt53LP4zmHsL0nap","Mustard, Ty Dolla $ign, Ella Mai",0y1lLLaSzHIVQZKHEfwOrm,Surface,2019-06-28
